timestamp,open,high,low,close,first_diff,true_flag,flag_before,diff,diff_threthold,pct_change_close,target
2017-01-01 01:00:00,963.02,964.0,962.8,964.0,0.0,0,0,0.0,0.0,0.0,
2017-01-01 02:00:00,963.74,964.99,963.74,964.76,0.7599999999999909,0,0,0.7599999999999909,0.7599999999999909,0.000788381742738542,1.0
2017-01-01 03:00:00,964.91,964.98,964.88,964.96,0.20000000000004547,0,0,0.9600000000000364,0.9600000000000364,0.0002073054438409549,1.0
2017-01-01 04:00:00,964.96,964.99,964.96,964.98,0.01999999999998181,0,0,0.9800000000000182,0.9800000000000182,2.0726247720093127e-05,1.0
2017-01-01 05:00:00,964.98,965.62,964.98,965.6,0.6200000000000045,0,0,1.6000000000000227,1.6000000000000227,0.0006425003627017477,1.0
2017-01-01 06:00:00,965.01,974.77,965.01,973.98,8.379999999999995,0,0,9.980000000000018,9.980000000000018,0.00867854183927097,1.0
2017-01-01 07:00:00,973.98,975.0,970.72,974.92,0.9399999999999408,1,0,10.919999999999963,10.919999999999963,0.0009651122199634266,1.0
2017-01-01 08:00:00,975.0,975.8,972.5,972.5,-2.419999999999959,-1,1,-2.419999999999959,-2.419999999999959,-0.002482254954252583,-1.0
2017-01-01 09:00:00,972.51,974.09,972.5,974.09,1.5900000000000318,0,-1,1.5900000000000318,1.5900000000000318,0.0016349614395887446,1.0
2017-01-01 10:00:00,974.1,976.0,973.2,975.85,1.7599999999999911,0,0,3.3500000000000227,3.3500000000000227,0.0018068145653893364,1.0
2017-01-01 11:00:00,975.85,977.92,974.62,976.71,0.8600000000000136,0,0,4.210000000000036,4.210000000000036,0.0008812829840652011,1.0
2017-01-01 12:00:00,976.71,992.99,976.22,992.99,16.279999999999973,1,0,20.490000000000013,20.490000000000013,0.016668202434704238,1.0
2017-01-01 13:00:00,992.98,994.12,981.57,990.81,-2.180000000000064,-1,1,-2.180000000000064,-2.180000000000064,-0.002195389681668547,-1.0
2017-01-01 14:00:00,991.96,998.0,991.96,996.22,5.410000000000082,0,-1,5.410000000000082,5.410000000000082,0.0054601790454276156,1.0
2017-01-01 15:00:00,996.53,997.03,992.49,997.03,0.8099999999999454,0,0,6.220000000000027,6.220000000000027,0.0008130734175182397,1.0
2017-01-01 16:00:00,996.01,1001.64,996.0,999.95,2.9200000000000728,0,0,9.1400000000001,9.1400000000001,0.002928698233754412,1.0
2017-01-01 17:00:00,996.29,1003.97,996.29,1002.99,3.0399999999999636,1,0,12.180000000000064,12.180000000000064,0.0030401520076004385,1.0
2017-01-01 18:00:00,1002.99,1004.88,1000.0,1002.5,-0.4900000000000091,0,1,-0.4900000000000091,-0.4900000000000091,-0.0004885392675899601,-1.0
2017-01-01 19:00:00,1002.4,1005.0,994.39,997.75,-4.75,0,0,-5.240000000000009,-5.240000000000009,-0.004738154613466383,-1.0
2017-01-01 20:00:00,997.75,999.89,996.89,997.69,-0.05999999999994542,-1,0,-5.2999999999999545,-5.2999999999999545,-6.013530443493841e-05,-1.0
2017-01-01 21:00:00,997.7,998.46,997.68,998.46,0.7699999999999818,0,-1,0.7699999999999818,0.7699999999999818,0.0007717828183102514,1.0
2017-01-01 22:00:00,998.46,1005.0,998.44,1005.0,6.5399999999999645,0,0,7.309999999999945,7.309999999999945,0.006550087134186589,1.0
2017-01-01 23:00:00,1004.99,1005.75,1004.55,1005.75,0.75,1,0,8.059999999999945,8.059999999999945,0.0007462686567163422,1.0
2017-01-02 00:00:00,1005.66,1005.73,1003.55,1005.73,-0.01999999999998181,0,1,-0.01999999999998181,-0.01999999999998181,-1.9885657469576046e-05,-1.0
2017-01-02 01:00:00,1005.48,1005.8,1003.2,1003.2,-2.5299999999999727,-1,0,-2.5499999999999545,-2.5499999999999545,-0.002515585693973477,-1.0
2017-01-02 02:00:00,1004.97,1005.0,1002.8,1005.0,1.7999999999999543,0,-1,1.7999999999999543,1.7999999999999543,0.0017942583732057926,1.0
2017-01-02 03:00:00,1005.0,1005.95,1004.76,1005.59,0.5900000000000318,0,0,2.3899999999999864,2.3899999999999864,0.0005870646766168441,1.0
2017-01-02 04:00:00,1005.65,1006.53,1004.94,1006.08,0.4900000000000091,0,0,2.8799999999999955,2.8799999999999955,0.0004872761264531622,1.0
2017-01-02 05:00:00,1006.49,1015.0,1006.06,1014.99,8.909999999999966,0,0,11.789999999999964,11.789999999999964,0.008856154580152653,1.0
2017-01-02 06:00:00,1014.99,1024.0,1014.59,1020.0,5.009999999999991,0,0,16.799999999999955,16.799999999999955,0.004936009221765625,1.0
2017-01-02 07:00:00,1020.0,1024.92,1015.98,1024.92,4.9200000000000745,0,0,21.720000000000027,21.720000000000027,0.004823529411764671,1.0
2017-01-02 08:00:00,1024.92,1025.0,1020.55,1024.96,0.03999999999996362,1,0,21.75999999999999,21.75999999999999,3.9027436287586426e-05,1.0
